,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
33038,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Frecuente,Disponible,Escaso
33039,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,61-81,Comun,Común,Poco disponible,Disponible,Escaso
33040,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,20-40,Poco disponible,Abundante,Poco disponible,Poco disponible,Poco disponible
33041,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,82-101,Escaso,Frecuente,Escaso,Disponible,Poco disponible
33042,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Raro,Raro,Frecuente,Disponible,Poco disponible
33043,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,41-60,Frecuente,Raro,Frecuente,Disponible,Poco disponible
33044,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,41-60,Abundante,Escaso,Frecuente,Disponible,Poco disponible
33045,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Disponible
33046,Mala,Mala,Disponible,Frecuente,Abundante,Escaso,61-81,Comun,Raro,Frecuente,Disponible,Escaso
33047,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Raro,Disponible,Escaso
33048,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Frecuente,Raro,Poco disponible,Disponible,Escaso
33049,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Poco disponible,Poco disponible,Poco disponible,Disponible,Escaso
33050,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Disponible,Poco disponible,Poco disponible,Poco disponible,Poco disponible
