,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
392,0.96,4.86,304.0,7.0,7.0,4.86
393,0.98,4.9,160.0,28.0,28.0,4.82
394,1.0,4.86,198.0,49.0,49.0,4.94
395,1.0,4.83,200.0,10.0,10.0,4.94
396,0.86,4.74,200.0,10.0,10.0,4.91
397,1.0,4.88,229.0,10.0,10.0,4.96
398,1.0,4.8,180.0,10.0,10.0,4.95
399,1.0,4.5,150.0,10.0,10.0,5.0
400,1.0,4.9,300.0,7.0,7.0,5.0
401,1.0,4.9,138.0,36.0,36.0,5.0
402,1.0,4.44,497.0,10.0,10.0,5.0
403,1.0,4.44,150.0,0.0,0.0,5.0
404,1.0,4.9,376.0,3.0,3.0,5.0
405,0.92,4.9,356.9,8.0,8.0,5.0
406,1.0,4.85,242.0,10.0,10.0,4.98
407,1.0,4.94,890.0,10.0,10.0,4.96
408,1.0,4.9,150.0,11.0,11.0,5.0
409,1.0,4.77,120.0,10.0,10.0,4.99
410,1.0,4.85,204.0,13.0,13.0,5.0
411,0.96,5.0,442.0,2.0,2.0,5.0
412,1.0,4.67,693.0,10.0,10.0,4.92
413,1.0,4.88,180.0,26.0,26.0,4.84
414,1.0,4.69,308.0,10.0,10.0,4.96
415,1.0,4.67,221.0,3.0,3.0,5.0
416,1.0,4.56,356.9,57.0,57.0,4.89
417,1.0,4.88,600.0,8.0,8.0,5.0
418,1.0,4.61,534.0,10.0,10.0,4.95
419,1.0,4.91,525.0,10.0,10.0,4.96
420,1.0,4.91,100.0,0.0,0.0,4.96
421,1.0,4.94,450.0,18.0,18.0,5.0
422,1.0,4.59,450.0,33.0,33.0,4.81
423,1.0,4.91,79.0,10.0,10.0,4.92
424,1.0,4.9,225.0,5.0,5.0,5.0
425,1.0,4.78,240.0,10.0,10.0,4.89
426,1.0,4.89,823.0,10.0,10.0,4.94
427,1.0,4.89,1094.0,0.0,0.0,4.94
428,1.0,4.94,380.0,33.0,33.0,4.94
429,1.0,4.41,814.0,46.0,46.0,4.89
430,1.0,4.91,190.0,11.0,11.0,5.0
431,1.0,4.82,162.0,10.0,10.0,4.94
432,1.0,5.0,197.0,1.0,1.0,5.0
433,1.0,4.45,200.0,11.0,11.0,4.82
434,1.0,4.79,90.0,14.0,14.0,4.93
435,1.0,4.8,95.0,5.0,5.0,5.0
436,1.0,4.89,411.0,58.0,58.0,4.82
437,1.0,4.89,411.0,0.0,0.0,4.82
438,1.0,4.8,290.0,32.0,32.0,4.93
439,1.0,4.92,623.0,24.0,24.0,4.88
440,0.96,4.92,356.9,0.0,0.0,4.88
441,1.0,4.83,302.0,10.0,10.0,4.98
442,0.96,4.83,442.0,0.0,0.0,4.98
443,1.0,4.89,250.0,28.0,28.0,4.96
444,1.0,4.89,180.0,10.0,10.0,4.98
445,1.0,5.0,514.0,37.0,37.0,4.97
446,1.0,4.8,90.0,5.0,5.0,5.0
447,1.0,5.0,150.0,2.0,2.0,5.0
448,1.0,4.74,431.0,10.0,10.0,4.82
449,1.0,4.9,173.0,10.0,10.0,4.81
450,1.0,4.86,267.0,10.0,10.0,4.92
451,1.0,4.69,151.0,48.0,48.0,4.98
452,1.0,4.63,214.0,10.0,10.0,4.76
453,1.0,4.63,356.9,0.0,0.0,4.76
454,0.96,5.0,1105.0,3.0,3.0,5.0
455,1.0,4.75,350.0,12.0,12.0,4.92
456,1.0,4.75,486.0,10.0,10.0,4.97
457,1.0,4.9,300.0,34.0,34.0,4.88
458,1.0,4.9,196.0,0.0,0.0,4.88
459,1.0,4.53,280.0,20.0,20.0,4.85
460,1.0,4.71,350.0,14.0,14.0,4.86
461,1.0,4.92,187.0,10.0,10.0,4.91
462,1.0,4.83,280.0,6.0,6.0,5.0
463,0.88,4.54,252.0,10.0,10.0,5.0
464,1.0,4.76,209.0,10.0,10.0,4.88
465,1.0,4.9,255.0,11.0,11.0,5.0
466,1.0,4.91,324.0,55.0,55.0,4.95
467,1.0,4.9,221.0,4.0,4.0,4.75
468,0.98,4.64,267.0,10.0,10.0,4.81
469,1.0,4.88,500.0,24.0,24.0,4.96
470,1.0,4.93,375.0,15.0,15.0,4.93
471,1.0,4.77,167.0,10.0,10.0,4.96
472,1.0,4.9,800.0,10.0,10.0,4.9
473,1.0,4.5,249.0,6.0,6.0,4.83
474,1.0,5.0,336.0,11.0,11.0,5.0
475,1.0,4.75,450.0,10.0,10.0,4.93
476,1.0,5.0,900.0,2.0,2.0,5.0
477,1.0,5.0,356.9,2.0,2.0,5.0
478,1.0,5.0,356.9,2.0,2.0,5.0
479,1.0,4.88,430.0,17.0,17.0,5.0
480,1.0,4.69,185.0,10.0,10.0,4.96
481,1.0,4.9,356.9,10.0,10.0,4.9
482,1.0,5.0,500.0,7.0,7.0,5.0
483,1.0,4.9,356.9,5.0,5.0,4.8
484,1.0,4.76,247.0,34.0,34.0,4.91
485,0.89,4.69,220.0,29.0,29.0,5.0
486,0.89,5.0,356.9,2.0,2.0,5.0
487,0.89,4.9,356.9,8.0,8.0,4.88
488,0.89,4.9,356.9,6.0,6.0,5.0
489,1.0,5.0,350.0,11.0,11.0,5.0
490,1.0,5.0,287.0,0.0,0.0,5.0
491,1.0,4.55,187.0,10.0,10.0,4.88
492,1.0,4.8,386.0,40.0,40.0,4.98
493,1.0,5.0,356.9,4.0,4.0,5.0
494,1.0,4.47,289.0,17.0,17.0,4.94
495,1.0,4.47,790.0,0.0,0.0,4.94
496,1.0,4.9,156.0,10.0,10.0,4.86
497,1.0,5.0,829.0,3.0,3.0,5.0
498,1.0,4.92,696.0,13.0,13.0,5.0
499,1.0,4.38,356.9,8.0,8.0,4.88
500,1.0,4.96,356.9,27.0,27.0,4.96
501,1.0,4.96,843.0,0.0,0.0,4.96
502,1.0,4.92,340.0,10.0,10.0,5.0
503,1.0,4.92,220.0,0.0,0.0,5.0
504,0.9,4.75,163.0,10.0,10.0,4.93
505,1.0,4.72,177.0,10.0,10.0,4.93
506,1.0,4.89,900.0,9.0,9.0,5.0
507,1.0,4.57,176.0,10.0,10.0,4.82
508,1.0,4.5,1000.0,6.0,6.0,4.83
509,1.0,4.67,1000.0,6.0,6.0,5.0
510,1.0,4.71,211.0,10.0,10.0,4.94
511,1.0,4.45,180.0,10.0,10.0,4.75
512,1.0,4.87,130.0,10.0,10.0,4.88
513,0.95,4.61,356.9,10.0,10.0,4.9
514,1.0,4.39,116.0,38.0,38.0,5.0
515,1.0,4.78,426.0,32.0,32.0,4.88
516,1.0,4.5,700.0,6.0,6.0,5.0
517,1.0,4.83,187.0,10.0,10.0,4.95
518,1.0,4.96,346.0,10.0,10.0,4.96
519,1.0,4.72,230.0,10.0,10.0,4.96
520,1.0,4.67,242.0,3.0,3.0,5.0
521,1.0,4.83,583.0,10.0,10.0,4.97
522,1.0,4.77,490.0,26.0,26.0,4.73
523,1.0,4.9,98.0,19.0,19.0,5.0
524,1.0,4.7,198.0,30.0,30.0,4.87
525,0.96,5.0,198.0,1.0,1.0,5.0
526,1.0,4.93,250.0,10.0,10.0,4.93
